Target,R2,MAE,SMAPE
Torque (Nm),-0.07628915775266543,3.507143020629883,45.60244508016093
I.P (kW),-0.08796627133045254,0.9428572654724121,12.865617843662955
B.P (kW),-0.07704976357799587,0.5309523642063141,46.19963066853608
F.P (kW),-0.08995152397503992,1.4738094806671143,24.267866531665543
I.M.E.P (bar),-0.10489046390423318,1.209524154663086,13.023619786300625
B.M.E.P (bar),-0.07592317322360032,0.6595238149166107,44.94645293794335
F.M.E.P (bar),-0.09256516331710496,1.8928570747375488,24.599364355636595
Air (mg/stroke),-0.1173730051792834,12.53570556640625,4.581167575672535
Air (kg/h),-0.10348494912191009,0.5214290618896484,2.156801512516477
Fuel (mg/stroke),-11925.893864734644,1.5601177215576172,3.9663045419744183
Fuel (kg/h),-124.7287590390329,0.01276368647813797,3.7783489159723143
H.S.F (kg/h),-867.2918837004394,0.14023810625076294,3.9043256097086907
S.F.C (kg/kWh),-0.318418509433644,0.11666667461395264,28.451404692100613
A/F Ratio,-4.704996792987054,2.845653533935547,3.910445893444725
Vol.Effi. (%),-0.11722888529649289,1.7357139587402344,2.474122479216275
I.T.Effi. (%),-0.07014731107862304,21.00714111328125,10.152736139870285
B.T.Effi. (%),-0.19427019486172914,13.799999237060547,43.80153094084384
Mech.Effi. (%),-0.08303793586479324,17.36904811859131,74.75233770400637
H.b.p (%),-0.19427019486172914,13.799999237060547,43.80153094084384
H.e.j.c.w (%),-5.563277759492314,7.18267822265625,11.028373234976485
H. red (%),-1.753679160999071,98.7744140625,6.4122340156401725
H. gas (%),-2.193604697084262,85.53250122070312,5.525946175720421
