Unnamed: 0,Torque (Nm),I.P (kW),B.P (kW),F.P (kW),I.M.E.P (bar),B.M.E.P (bar),F.M.E.P (bar),Air (mg/stroke),Air (kg/h),Fuel (mg/stroke),Fuel (kg/h),H.S.F (kg/h),S.F.C (kg/kWh),A/F Ratio,Vol.Effi. (%),I.T.Effi. (%),B.T.Effi. (%),Mech.Effi. (%),H.b.p (%),H.e.j.c.w (%),H. red (%),H. gas (%)
1,4.2,7.9,0.6,7.2,9.9,0.8,9.1,243.9,22.9,37.0,0.319,3.4,0.5,71.8,66.1,233.7,18.9,8.1,18.9,83.8,-1591.2,1588.5
2,9.7,7.8,1.5,6.4,9.9,1.8,8.0,249.2,23.2,37.4,0.323,3.4,0.2,71.8,66.8,231.0,43.2,18.7,43.2,81.7,-1590.4,1565.5
