Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10
1.341,1.316,1.269,1.23,1.126,1.134,1.037,0.978,0.934,0.776
1.379,1.356,1.306,1.238,1.15,1.17,1.04,0.994,0.932,0.787
1.415,1.403,1.338,1.254,1.171,1.212,1.062,1.01,0.941,0.818
1.47,1.449,1.358,1.277,1.192,1.234,1.083,1.027,0.946,0.85
1.487,1.474,1.381,1.309,1.221,1.262,1.115,1.057,0.982,0.891
1.51,1.509,1.405,1.353,1.263,1.304,1.162,1.099,1.042,0.923
1.516,1.565,1.454,1.406,1.315,1.358,1.226,1.154,1.126,0.961
1.552,1.637,1.501,1.484,1.364,1.423,1.303,1.236,1.212,1.005
1.613,1.737,1.555,1.578,1.422,1.479,1.377,1.312,1.299,1.062
1.682,1.783,1.593,1.657,1.487,1.563,1.439,1.421,1.366,1.143
1.74,1.855,1.701,1.724,1.573,1.615,1.47,1.446,1.425,1.235
1.804,1.896,1.782,1.755,1.63,1.673,1.501,1.491,1.464,1.304
1.871,1.944,1.828,1.795,1.676,1.74,1.554,1.516,1.525,1.34
1.932,1.978,1.879,1.831,1.721,1.81,1.627,1.578,1.575,1.375
1.996,2.032,1.948,1.876,1.782,1.862,1.704,1.63,1.627,1.416
2.059,2.098,2.023,1.937,1.819,1.901,1.776,1.698,1.676,1.464
2.116,2.16,2.059,2.0,1.873,1.927,1.838,1.741,1.71,1.52
2.165,2.197,2.075,2.032,1.909,1.948,1.859,1.77,1.751,1.568
2.204,2.213,2.083,2.041,1.944,1.968,1.884,1.775,1.793,1.589
2.23,2.213,2.093,2.048,1.962,1.969,1.895,1.776,1.816,1.59
2.255,2.216,2.106,2.053,1.981,1.973,1.921,1.774,1.811,1.596
2.272,2.228,2.114,2.061,1.996,1.968,1.924,1.779,1.801,1.615
2.281,2.233,2.115,2.066,2.004,1.96,1.932,1.776,1.779,1.643
2.294,2.224,2.091,2.052,2.0,1.936,1.923,1.77,1.761,1.677
2.299,2.206,2.059,2.015,1.986,1.9,1.92,1.748,1.743,1.672
2.29,2.176,2.012,1.979,1.957,1.85,1.877,1.719,1.737,1.637
2.266,2.122,1.98,1.932,1.911,1.805,1.847,1.677,1.706,1.599
2.24,2.064,1.945,1.898,1.861,1.761,1.804,1.625,1.667,1.549
2.193,2.016,1.93,1.859,1.824,1.721,1.777,1.581,1.614,1.501
2.138,1.983,1.875,1.827,1.793,1.658,1.728,1.54,1.549,1.455
2.082,1.937,1.811,1.772,1.761,1.593,1.676,1.479,1.47,1.407
2.038,1.867,1.729,1.71,1.71,1.522,1.608,1.412,1.403,1.354
1.987,1.794,1.66,1.64,1.633,1.451,1.542,1.33,1.346,1.298
1.937,1.724,1.597,1.565,1.551,1.387,1.475,1.284,1.288,1.237
1.867,1.654,1.541,1.489,1.481,1.33,1.421,1.22,1.227,1.178
1.795,1.589,1.48,1.428,1.419,1.285,1.37,1.171,1.163,1.11
1.719,1.53,1.426,1.364,1.37,1.233,1.306,1.124,1.096,1.054
1.654,1.475,1.364,1.33,1.318,1.178,1.237,1.068,1.035,1.008
1.596,1.424,1.307,1.267,1.263,1.102,1.167,1.001,0.964,0.959
1.54,1.367,1.243,1.204,1.21,1.037,1.104,0.935,0.907,0.898
1.488,1.309,1.197,1.124,1.149,0.977,1.044,0.873,0.865,0.831
1.43,1.251,1.162,1.062,1.085,0.932,0.994,0.814,0.82,0.758
1.373,1.184,1.136,1.01,1.022,0.893,0.946,0.758,0.765,0.696
1.305,1.121,1.077,0.97,0.965,0.875,0.891,0.729,0.71,0.636
1.239,1.068,1.022,0.924,0.916,0.832,0.847,0.705,0.655,0.589
1.181,1.032,0.965,0.887,0.874,0.78,0.775,0.668,0.6,0.56
1.129,0.99,0.911,0.846,0.84,0.73,0.723,0.617,0.558,0.512
1.096,0.957,0.872,0.821,0.809,0.693,0.683,0.57,0.529,0.472
1.068,0.93,0.842,0.8,0.78,0.664,0.668,0.529,0.516,0.437
1.042,0.908,0.839,0.8,0.745,0.647,0.657,0.511,0.502,0.416
1.01,0.884,0.837,0.798,0.718,0.64,0.637,0.505,0.475,0.394
0.972,0.86,0.829,0.787,0.696,0.653,0.615,0.503,0.436,0.376
0.915,0.847,0.82,0.759,0.682,0.649,0.587,0.504,0.426,0.373
0.874,0.843,0.797,0.731,0.685,0.626,0.56,0.486,0.419,0.366
0.847,0.842,0.786,0.707,0.672,0.602,0.539,0.468,0.42,0.366
0.866,0.846,0.774,0.695,0.672,0.58,0.537,0.446,0.416,0.351
0.887,0.856,0.787,0.699,0.656,0.583,0.531,0.437,0.426,0.339
0.907,0.845,0.792,0.7,0.653,0.581,0.527,0.438,0.432,0.318
0.894,0.825,0.796,0.705,0.646,0.602,0.519,0.445,0.435,0.305
0.888,0.821,0.791,0.703,0.662,0.611,0.507,0.45,0.434,0.3
0.871,0.82,0.782,0.7,0.662,0.617,0.507,0.448,0.42,0.308
0.882,0.82,0.761,0.691,0.665,0.607,0.513,0.437,0.395,0.326
0.874,0.794,0.761,0.681,0.653,0.586,0.539,0.424,0.383,0.331
0.883,0.779,0.764,0.683,0.64,0.546,0.561,0.432,0.384,0.322
0.893,0.766,0.784,0.694,0.631,0.551,0.573,0.445,0.399,0.311
0.879,0.763,0.796,0.707,0.64,0.568,0.561,0.459,0.406,0.303
0.87,0.782,0.791,0.718,0.645,0.602,0.551,0.465,0.408,0.305
0.862,0.814,0.782,0.729,0.659,0.632,0.536,0.472,0.415,0.317
0.877,0.834,0.781,0.727,0.677,0.643,0.541,0.46,0.417,0.335
0.892,0.842,0.774,0.719,0.673,0.635,0.556,0.449,0.415,0.347
0.89,0.84,0.769,0.708,0.666,0.612,0.566,0.451,0.412,0.357
0.881,0.84,0.759,0.711,0.659,0.594,0.564,0.465,0.433,0.364
0.864,0.84,0.767,0.725,0.666,0.603,0.538,0.479,0.44,0.368
0.864,0.843,0.771,0.739,0.679,0.618,0.527,0.487,0.435,0.359
0.868,0.849,0.761,0.739,0.682,0.637,0.52,0.474,0.432,0.34
0.876,0.845,0.746,0.722,0.681,0.638,0.524,0.466,0.426,0.332
0.875,0.835,0.756,0.719,0.664,0.618,0.519,0.46,0.416,0.345
0.875,0.83,0.77,0.727,0.662,0.6,0.525,0.462,0.414,0.358
0.875,0.817,0.78,0.729,0.652,0.596,0.535,0.472,0.412,0.365
0.868,0.812,0.775,0.723,0.654,0.613,0.55,0.491,0.42,0.361
0.864,0.82,0.775,0.722,0.655,0.648,0.558,0.509,0.42,0.352
0.87,0.84,0.787,0.731,0.663,0.652,0.564,0.508,0.418,0.331
0.881,0.87,0.795,0.739,0.669,0.644,0.551,0.496,0.411,0.338
0.887,0.877,0.799,0.749,0.678,0.629,0.545,0.494,0.415,0.356
0.891,0.863,0.803,0.752,0.679,0.61,0.545,0.484,0.423,0.37
0.884,0.838,0.796,0.735,0.681,0.61,0.548,0.471,0.424,0.376
0.875,0.823,0.786,0.697,0.679,0.605,0.545,0.458,0.434,0.368
0.868,0.82,0.782,0.676,0.678,0.612,0.551,0.461,0.433,0.364
0.874,0.823,0.803,0.668,0.681,0.609,0.56,0.478,0.428,0.343
0.88,0.829,0.814,0.693,0.686,0.61,0.569,0.492,0.424,0.342
0.894,0.84,0.811,0.724,0.7,0.602,0.573,0.508,0.419,0.352
0.898,0.839,0.804,0.739,0.703,0.607,0.561,0.479,0.429,0.37
0.897,0.826,0.789,0.749,0.686,0.613,0.542,0.476,0.44,0.372
0.88,0.822,0.784,0.748,0.663,0.628,0.538,0.469,0.461,0.359
0.872,0.828,0.787,0.745,0.655,0.644,0.548,0.479,0.475,0.342
0.868,0.842,0.812,0.744,0.652,0.632,0.561,0.486,0.474,0.327
0.881,0.855,0.825,0.749,0.655,0.629,0.573,0.502,0.453,0.33
0.891,0.86,0.831,0.762,0.651,0.626,0.572,0.503,0.44,0.344
0.902,0.856,0.826,0.762,0.655,0.63,0.572,0.487,0.429,0.364
0.899,0.839,0.814,0.767,0.649,0.622,0.556,0.488,0.434,0.37
0.909,0.826,0.799,0.762,0.647,0.62,0.553,0.482,0.443,0.382
0.917,0.822,0.813,0.767,0.663,0.634,0.566,0.479,0.463,0.379
0.922,0.839,0.823,0.765,0.685,0.652,0.586,0.48,0.467,0.374
0.909,0.86,0.825,0.773,0.711,0.665,0.587,0.485,0.469,0.361
0.907,0.874,0.824,0.796,0.736,0.67,0.569,0.508,0.472,0.367
0.913,0.875,0.817,0.809,0.756,0.679,0.568,0.536,0.467,0.4
0.921,0.875,0.834,0.817,0.765,0.683,0.57,0.564,0.469,0.431
0.927,0.89,0.822,0.825,0.753,0.677,0.589,0.566,0.47,0.44
0.947,0.902,0.828,0.806,0.747,0.67,0.602,0.533,0.469,0.441
0.955,0.898,0.843,0.784,0.736,0.654,0.606,0.526,0.477,0.426
0.952,0.892,0.857,0.758,0.741,0.643,0.612,0.534,0.486,0.41
0.947,0.896,0.863,0.766,0.73,0.645,0.621,0.546,0.493,0.41
0.953,0.9,0.857,0.783,0.754,0.642,0.623,0.552,0.505,0.419
0.97,0.905,0.855,0.807,0.775,0.644,0.624,0.562,0.501,0.421
0.969,0.932,0.846,0.82,0.789,0.645,0.617,0.566,0.49,0.425
0.965,0.944,0.843,0.816,0.766,0.681,0.621,0.573,0.485,0.423
0.967,0.952,0.853,0.809,0.742,0.695,0.637,0.572,0.495,0.42
0.97,0.936,0.867,0.816,0.733,0.719,0.651,0.571,0.507,0.417
0.974,0.902,0.872,0.814,0.73,0.735,0.642,0.558,0.522,0.426
0.974,0.89,0.872,0.82,0.745,0.756,0.631,0.564,0.53,0.442
0.973,0.892,0.875,0.813,0.761,0.762,0.624,0.576,0.52,0.458
0.983,0.901,0.863,0.811,0.774,0.742,0.611,0.581,0.509,0.465
0.983,0.908,0.858,0.811,0.78,0.721,0.602,0.571,0.494,0.47
0.994,0.927,0.857,0.815,0.775,0.713,0.597,0.568,0.504,0.466
0.998,0.946,0.873,0.818,0.765,0.702,0.605,0.563,0.525,0.444
0.992,0.941,0.876,0.833,0.752,0.703,0.617,0.576,0.547,0.44
0.99,0.935,0.89,0.843,0.741,0.705,0.626,0.609,0.551,0.442
0.984,0.934,0.883,0.847,0.744,0.715,0.636,0.63,0.536,0.458
0.978,0.946,0.883,0.835,0.761,0.73,0.635,0.631,0.534,0.478
0.993,0.952,0.879,0.831,0.775,0.75,0.644,0.62,0.53,0.49
1.003,0.955,0.885,0.82,0.781,0.749,0.662,0.603,0.529,0.492
1.015,0.944,0.887,0.825,0.789,0.733,0.694,0.593,0.535,0.48
1.036,0.944,0.9,0.838,0.803,0.724,0.705,0.61,0.547,0.485
1.041,0.942,0.914,0.856,0.795,0.74,0.706,0.63,0.563,0.479
1.016,0.939,0.919,0.876,0.786,0.75,0.699,0.669,0.575,0.478
1.009,0.94,0.916,0.875,0.794,0.772,0.697,0.655,0.581,0.487
1.017,0.944,0.922,0.87,0.807,0.773,0.681,0.628,0.568,0.502
1.026,0.968,0.915,0.856,0.807,0.75,0.68,0.588,0.553,0.513
1.044,0.982,0.908,0.851,0.818,0.735,0.702,0.573,0.541,0.514
1.049,0.998,0.909,0.84,0.813,0.724,0.718,0.583,0.536,0.512
1.043,0.989,0.907,0.843,0.811,0.73,0.72,0.617,0.55,0.514
1.027,0.981,0.918,0.858,0.803,0.728,0.71,0.642,0.563,0.511
