Unnamed: 0,Torque (Nm),I.P (kW),B.P (kW),F.P (kW),I.M.E.P (bar),B.M.E.P (bar),F.M.E.P (bar),Air (mg/stroke),Air (kg/h),Fuel (mg/stroke),Fuel (kg/h),H.S.F (kg/h),S.F.C (kg/kWh),A/F Ratio,Vol.Effi. (%),I.T.Effi. (%),B.T.Effi. (%),Mech.Effi. (%),H.b.p (%),H.e.j.c.w (%),H. red (%),H. gas (%)
1,4.2,7.9,0.6,7.2,9.9,0.8,9.1,243.9,22.9,37.0,0.319,3.4,0.5,71.8,66.1,233.7,18.9,8.1,18.9,83.8,-1591.2,1588.5
2,9.7,7.8,1.5,6.4,9.9,1.8,8.0,249.2,23.2,37.4,0.323,3.4,0.2,71.8,66.8,231.0,43.2,18.7,43.2,81.7,-1590.4,1565.5
3,13.7,4.2,2.1,2.1,5.3,2.6,2.7,266.8,23.9,46.1,0.397,4.2,0.2,60.3,69.2,100.0,49.4,49.4,49.4,65.9,-1293.7,1278.4
4,18.2,3.5,2.7,0.7,4.4,3.5,0.9,263.4,23.7,44.6,0.381,4.0,0.1,62.2,69.0,86.2,67.9,78.8,67.9,69.0,-1368.4,1331.4
5,23.0,2.2,3.4,-1.3,2.7,4.4,-1.6,253.9,23.2,64.1,0.547,5.8,0.2,42.5,67.9,37.6,59.7,158.9,59.7,51.0,-939.1,928.4
6,23.0,2.2,3.4,-1.3,2.7,4.4,-1.6,247.6,22.9,34.9,0.297,3.1,0.1,77.2,67.0,68.9,109.8,159.5,109.8,97.6,-1818.3,1710.9
