Unnamed: 0,RPM,Load (kg),Air Flow (mmWc),Fuel (cc/min),Water Flow (Eng),Water Flow (Cal),Eng. Inlet (T1),Eng. Outlet (T2),Cal. Inlet (T3),Cal. Outlet (T4),Ex. Inlet (T5),Ex. Outlet (T6)
1,1442,1.8,46.4,6.0,150,50,22,36.5,22,770.8,95.8,44.1
2,1444,4.0,42.8,4.7,150,50,22,36.4,22,770.8,95.1,43.1
