Unnamed: 0,RPM,Load (kg),Air Flow (mmWc),Fuel (cc/min),Water Flow (Eng),Water Flow (Cal),Eng. Inlet (T1),Eng. Outlet (T2),Cal. Inlet (T3),Cal. Outlet (T4),Ex. Inlet (T5),Ex. Outlet (T6)
1,1442,1.8,46.4,6.0,150,50,22.0,36.5,22.0,770.8,95.8,44.1
2,1444,4.0,42.8,4.7,150,50,22.0,36.4,22.0,770.8,95.1,43.1
3,1440,5.7,48.8,7.6,150,50,22.1,36.5,22.1,770.7,94.6,42.7
4,1439,8.3,45.6,9.5,150,50,21.8,39.2,21.8,770.9,98.6,45.4
