Unnamed: 0,Torque (Nm),I.P (kW),B.P (kW),F.P (kW),I.M.E.P (bar),B.M.E.P (bar),F.M.E.P (bar),Air (mg/stroke),Air (kg/h),Fuel (mg/stroke),Fuel (kg/h),H.S.F (kg/h),S.F.C (kg/kWh),A/F Ratio,Vol.Effi. (%),I.T.Effi. (%),B.T.Effi. (%),Mech.Effi. (%),H.b.p (%),H.e.j.c.w (%),H. red (%),H. gas (%)
0,4.3,8.3,0.6,7.7,10.5,0.8,9.7,253.0,23.3,45.3,0.389,4.2,0.6,59.8,67.5,198.0,15.2,7.7,15.2,46.1,-1190.3,1229.0
1,5.2,8.1,0.8,7.3,10.4,1.0,9.4,292.3,24.9,35.3,0.3,3.2,0.4,83.0,72.9,250.5,24.0,9.6,24.0,66.5,-1661.1,1670.6
2,4.0,8.5,0.6,7.9,10.7,0.8,10.0,313.6,25.9,39.7,0.34,3.6,0.6,76.1,75.3,236.7,16.9,7.1,16.9,64.9,-1483.5,1501.7
3,7.9,8.7,1.2,7.5,10.9,1.5,9.4,248.4,23.1,30.3,0.262,2.8,0.2,88.4,66.7,316.6,43.7,13.8,43.7,88.2,-2082.5,2050.7
4,13.9,5.2,2.1,3.1,6.5,2.6,3.8,235.3,22.6,35.9,0.313,3.3,0.1,72.3,64.6,158.5,64.6,40.7,64.6,74.1,-1825.4,1786.7
5,20.7,2.9,3.1,-0.2,3.7,3.9,-0.3,242.2,22.9,44.3,0.383,4.0,0.1,59.7,65.8,72.8,78.0,107.1,78.0,60.6,-1531.0,1492.4
6,24.6,3.2,3.7,-0.5,4.1,4.7,-0.6,243.8,22.9,50.1,0.43,4.5,0.1,53.1,66.2,71.6,81.7,114.1,81.7,56.4,-1385.2,1347.1
