Unnamed: 0,RPM,Load (kg),Air Flow (mmWc),Fuel (cc/min),Water Flow (Eng),Water Flow (Cal),Eng. Inlet (T1),Eng. Outlet (T2),Cal. Inlet (T3),Cal. Outlet (T4),Ex. Inlet (T5),Ex. Outlet (T6)
0,1438,1.8,43.6,7.8,150,50,20.8,31.9,20.8,769.7,57.4,34.8
1,1423,2.2,49.9,6.0,150,50,20.9,33.3,20.9,769.8,64.4,37.2
2,1432,1.7,53.9,6.8,150,50,22.0,35.3,22.0,770.1,75.0,39.1
3,1447,3.4,43.1,5.3,150,50,22.0,35.9,22.0,770.2,80.5,42.2
4,1459,5.9,41.2,6.3,150,50,21.8,35.8,21.8,770.3,84.5,44.8
5,1449,8.8,42.1,7.7,150,50,21.8,35.9,21.8,770.3,87.6,46.5
6,1438,10.4,42.1,8.6,150,50,21.9,36.5,21.9,770.5,91.4,48.2
