Unnamed: 0,Torque (Nm),I.P (kW),B.P (kW),F.P (kW),I.M.E.P (bar),B.M.E.P (bar),F.M.E.P (bar),Air (mg/stroke),Air (kg/h),Fuel (mg/stroke),Fuel (kg/h),H.S.F (kg/h),S.F.C (kg/kWh),A/F Ratio,Vol.Effi. (%),I.T.Effi. (%),B.T.Effi. (%),Mech.Effi. (%),H.b.p (%),H.e.j.c.w (%),H. red (%),H. gas (%)
0,4.3,8.3,0.6,7.7,10.5,0.8,9.7,253.0,23.3,45.3,0.389,4.2,0.6,59.8,67.5,198.0,15.2,7.7,15.2,46.1,-1190.3,1229.0
1,5.2,8.1,0.8,7.3,10.4,1.0,9.4,292.3,24.9,35.3,0.3,3.2,0.4,83.0,72.9,250.5,24.0,9.6,24.0,66.5,-1661.1,1670.6
2,4.0,8.5,0.6,7.9,10.7,0.8,10.0,313.6,25.9,39.7,0.34,3.6,0.6,76.1,75.3,236.7,16.9,7.1,16.9,64.9,-1483.5,1501.7
